day,count
 09 01,"	92"
 09 01,"	53"
 09 01,"	35"
 09 01,"	35"
 09 01,"	31"
 09 01,"	63"
 09 01,"	142"
 09 01,"	284"
 09 01,"	397"
 09 01,"	493"
 09 01,"	492"
 09 01,"	457"
 09 01,"	375"
 09 01,"	437"
 09 01,"	544"
 09 01,"	577"
 09 01,"	616"
 09 01,"	567"
 09 01,"	433"
 09 01,"	474"
 09 01,"	443"
 09 01,"	286"
 09 01,"	170"
 09 01,"	95"
 09 02,"	35"
 09 02,"	29"
 09 02,"	13"
 09 02,"	11"
 09 02,"	24"
 09 02,"	44"
 09 02,"	212"
 09 02,"	611"
 09 02,"	436"
 09 02,"	328"
 09 02,"	298"
 09 02,"	292"
 09 02,"	32"
 09 02,"	278"
 09 02,"	309"
 09 02,"	302"
 09 02,"	392"
 09 02,"	650"
 09 02,"	577"
 09 02,"	332"
 09 02,"	279"
 09 02,"	192"
 09 02,"	152"
 09 02,"	87"
 09 03,"	51"
 09 03,"	27"
 09 03,"	32"
 09 03,"	23"
 09 03,"	16"
 09 03,"	43"
 09 03,"	192"
 09 03,"	573"
 09 03,"	445"
 09 03,"	332"
 09 03,"	298"
 09 03,"	262"
 09 03,"	252"
 09 03,"	296"
 09 03,"	324"
 09 03,"	338"
 09 03,"	388"
 09 03,"	664"
 09 03,"	544"
 09 03,"	333"
 09 03,"	270"
 09 03,"	261"
 09 03,"	129"
 09 03,"	77"
 09 04,"	42"
 09 04,"	24"
 09 04,"	22"
 09 04,"	14"
 09 04,"	9"
 09 04,"	32"
 09 04,"	189"
 09 04,"	581"
 09 04,"	459"
 09 04,"	331"
 09 04,"	294"
 09 04,"	315"
 09 04,"	261"
 09 04,"	293"
 09 04,"	312"
 09 04,"	326"
 09 04,"	371"
 09 04,"	655"
 09 04,"	563"
 09 04,"	303"
 09 04,"	261"
 09 04,"	211"
 09 04,"	114"
 09 04,"	13"
 09 05,"	37"
 09 05,"	25"
 09 05,"	17"
 09 05,"	18"
 09 05,"	16"
 09 05,"	37"
 09 05,"	179"
 09 05,"	591"
 09 05,"	394"
 09 05,"	353"
 09 05,"	301"
 09 05,"	272"
 09 05,"	237"
 09 05,"	311"
 09 05,"	304"
 09 05,"	318"
 09 05,"	396"
 09 05,"	650"
 09 05,"	545"
 09 05,"	360"
 09 05,"	265"
 09 05,"	211"
 09 05,"	142"
 09 05,"	82"
 09 06,"	53"
 09 06,"	23"
 09 06,"	12"
 09 06,"	18"
 09 06,"	18"
 09 06,"	37"
 09 06,"	178"
 09 06,"	589"
 09 06,"	441"
 09 06,"	361"
 09 06,"	349"
 09 06,"	288"
 09 06,"	288"
 09 06,"	330"
 09 06,"	338"
 09 06,"	382"
 09 06,"	451"
 09 06,"	768"
 09 06,"	721"
 09 06,"	467"
 09 06,"	364"
 09 06,"	326"
 09 06,"	199"
 09 06,"	133"
 09 07,"	79"
 09 07,"	64"
 09 07,"	31"
 09 07,"	23"
 09 07,"	37"
 09 07,"	59"
 09 07,"	174"
 09 07,"	395"
 09 07,"	494"
 09 07,"	530"
 09 07,"	506"
 09 07,"	422"
 09 07,"	384"
 09 07,"	421"
 09 07,"	472"
 09 07,"	504"
 09 07,"	574"
 09 07,"	571"
 09 07,"	530"
 09 07,"	411"
 09 07,"	398"
 09 07,"	364"
 09 07,"	276"
 09 07,"	182"
 09 08,"	131"
 09 08,"	71"
 09 08,"	40"
 09 08,"	41"
 09 08,"	30"
 09 08,"	74"
 09 08,"	124"
 09 08,"	257"
 09 08,"	396"
 09 08,"	460"
 09 08,"	493"
 09 08,"	430"
 09 08,"	370"
 09 08,"	416"
 09 08,"	458"
 09 08,"	553"
 09 08,"	632"
 09 08,"	595"
 09 08,"	520"
 09 08,"	538"
 09 08,"	523"
 09 08,"	465"
 09 08,"	237"
 09 08,"	118"
 09 09,"	71"
 09 09,"	36"
 09 09,"	15"
 09 09,"	13"
 09 09,"	25"
 09 09,"	56"
 09 09,"	232"
 09 09,"	623"
 09 09,"	462"
 09 09,"	367"
 09 09,"	333"
 09 09,"	291"
 09 09,"	283"
 09 09,"	310"
 09 09,"	301"
 09 09,"	358"
 09 09,"	348"
 09 09,"	676"
 09 09,"	181"
 09 09,"	350"
 09 09,"	308"
 09 09,"	236"
 09 09,"	136"
 09 09,"	85"
 09 10,"	53"
 09 10,"	18"
 09 10,"	18"
 09 10,"	13"
 09 10,"	13"
 09 10,"	44"
 09 10,"	181"
 09 10,"	454"
 09 10,"	521"
 09 10,"	248"
 09 10,"	275"
 09 10,"	299"
 09 10,"	292"
 09 10,"	278"
 09 10,"	358"
 09 10,"	369"
 09 10,"	388"
 09 10,"	654"
 09 10,"	577"
 09 10,"	357"
 09 10,"	269"
 09 10,"	229"
 09 10,"	158"
 09 10,"	105"
 09 11,"	56"
 09 11,"	28"
 09 11,"	18"
 09 11,"	22"
 09 11,"	18"
 09 11,"	35"
 09 11,"	192"
 09 11,"	595"
 09 11,"	474"
 09 11,"	333"
 09 11,"	329"
 09 11,"	300"
 09 11,"	265"
 09 11,"	277"
 09 11,"	332"
 09 11,"	332"
 09 11,"	372"
 09 11,"	699"
 09 11,"	538"
